id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,Grade
53,GP,F,15,U,GT3,T,1,0,other,health,home,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,2,1,1,5,0,14,15,8
54,GP,F,18,U,GT3,T,1,1,teacher,health,reputation,other,1,1,0,no,yes,no,no,yes,yes,no,no,4,4,2,0,2,3,2,14,12,8
55,MS,F,17,U,GT3,T,3,2,services,other,course,mother,1,2,0,no,yes,yes,no,yes,no,yes,no,2,3,0,1,0,1,3,15,9,9
56,GP,M,14,U,LE3,T,1,3,services,at_home,other,mother,2,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,1,2,4,0,14,10,9
57,MS,M,16,U,GT3,T,2,2,services,teacher,course,mother,1,3,0,no,no,no,yes,yes,yes,yes,no,5,4,0,1,4,1,3,14,15,11
58,GP,M,15,U,LE3,T,0,0,other,other,course,mother,2,1,0,no,no,no,yes,no,yes,no,no,4,5,4,1,1,4,6,15,8,8
59,GP,F,17,U,GT3,T,4,1,other,at_home,reputation,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,yes,3,2,1,1,1,4,2,12,10,14
60,GP,F,14,R,GT3,T,2,3,other,health,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,4,1,4,6,3,4,1,12,9,9
61,GP,F,17,R,LE3,T,2,0,health,teacher,course,mother,1,2,0,no,no,no,no,yes,yes,no,yes,5,4,2,6,2,3,0,14,13,9
62,GP,M,15,R,GT3,T,1,2,health,teacher,home,mother,3,1,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,2,4,39,11,15,6
63,GP,F,16,U,GT3,A,3,0,at_home,at_home,other,other,1,1,0,no,yes,no,yes,no,no,yes,no,5,5,3,1,2,3,0,15,12,8
64,MS,M,16,U,GT3,T,2,3,other,other,course,father,0,1,0,yes,yes,no,no,yes,no,yes,yes,4,0,1,1,2,4,0,7,5,8
65,MS,F,14,U,GT3,T,2,1,at_home,services,reputation,father,2,3,0,no,no,yes,yes,yes,yes,yes,yes,5,2,2,1,2,2,1,11,10,11
66,GP,M,15,U,GT3,T,2,0,other,other,home,father,3,1,0,yes,yes,no,no,no,yes,yes,yes,5,5,3,1,3,3,0,11,19,9
67,GP,M,15,U,GT3,A,2,1,other,health,reputation,mother,1,1,0,no,yes,no,yes,yes,no,yes,no,4,3,4,5,2,1,0,16,8,8
68,GP,M,16,U,GT3,T,1,2,teacher,teacher,home,other,2,2,0,no,yes,no,yes,yes,yes,no,no,4,1,2,1,1,3,0,16,12,9
69,GP,M,16,U,GT3,T,0,0,at_home,other,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,5,1,0,0,17,19,8
70,GP,F,18,U,GT3,A,2,3,at_home,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,0,3,2,13,13,9
71,MS,M,17,R,LE3,T,3,0,at_home,other,course,mother,3,0,0,no,yes,no,yes,yes,yes,no,yes,3,4,3,1,2,3,0,12,15,9
72,MS,M,15,U,LE3,T,1,1,services,at_home,reputation,mother,1,3,0,no,yes,no,no,yes,yes,yes,no,1,2,0,2,0,4,3,14,13,10
73,MS,F,14,U,GT3,T,3,1,at_home,teacher,home,mother,2,1,0,no,yes,no,no,yes,yes,yes,yes,2,3,1,1,2,1,0,16,10,9
74,GP,M,16,R,LE3,T,4,0,other,other,reputation,father,1,0,0,no,yes,no,yes,yes,yes,yes,yes,4,0,3,1,2,1,0,12,10,9
75,GP,F,15,U,LE3,A,2,2,at_home,other,course,mother,0,0,2,no,yes,no,yes,yes,yes,yes,no,5,2,3,2,2,4,3,15,12,6
76,GP,F,16,R,LE3,T,1,2,health,other,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,1,2,2,1,2,1,7,13,8
77,GP,F,14,U,LE3,T,2,2,health,other,other,mother,5,2,0,yes,no,no,no,yes,yes,yes,yes,3,1,0,1,1,4,2,15,8,9
78,GP,F,16,U,GT3,T,4,2,teacher,at_home,home,mother,4,0,0,no,no,no,yes,yes,no,yes,no,4,4,1,5,3,0,3,12,13,8
79,MS,M,16,U,GT3,T,3,2,at_home,other,course,mother,3,1,0,no,no,no,yes,yes,no,yes,yes,5,3,3,1,2,3,6,14,13,8
80,GP,M,16,U,GT3,T,2,3,at_home,services,reputation,mother,2,1,0,yes,yes,no,no,yes,yes,yes,yes,4,5,1,2,0,2,0,16,15,9
81,GP,F,15,U,LE3,A,2,2,services,teacher,home,mother,1,3,0,no,no,no,no,yes,yes,no,no,5,3,2,0,0,1,4,18,15,10
82,GP,F,15,R,GT3,T,1,2,at_home,other,home,mother,3,4,0,no,yes,no,yes,no,yes,yes,yes,4,3,0,1,4,4,2,17,7,13
83,GP,F,16,U,GT3,T,3,3,at_home,teacher,home,other,1,0,0,yes,yes,no,no,no,yes,yes,no,4,3,2,4,3,4,1,8,9,9
84,MS,M,16,U,LE3,T,2,2,other,other,home,mother,1,4,0,no,yes,no,no,yes,yes,no,yes,3,1,0,1,3,4,0,14,11,13
85,GP,F,16,U,GT3,T,1,2,services,other,course,other,1,0,2,no,yes,no,no,yes,yes,yes,yes,4,2,0,1,2,2,2,13,13,6
86,MS,M,16,U,GT3,T,3,2,services,other,home,mother,2,2,0,yes,no,no,yes,yes,yes,yes,no,5,3,1,2,4,4,0,14,6,9
87,GP,M,16,U,GT3,T,2,2,teacher,health,course,mother,1,4,0,no,yes,yes,yes,yes,yes,yes,no,4,5,2,6,4,3,1,12,11,13
88,GP,M,18,U,LE3,A,1,1,other,other,course,father,2,0,0,yes,yes,yes,no,yes,yes,yes,yes,4,4,4,1,1,4,1,18,17,8
89,GP,M,17,U,LE3,T,0,3,other,services,course,other,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,5,2,2,2,3,13,16,6,8
90,GP,F,15,R,GT3,T,3,3,services,other,home,mother,2,1,1,no,no,no,no,yes,no,yes,no,3,5,3,1,1,3,2,15,15,7
91,GP,F,15,U,LE3,T,3,3,services,health,home,mother,1,1,1,no,no,no,no,yes,yes,yes,yes,5,3,1,1,2,3,2,11,12,8
92,GP,M,16,U,LE3,A,1,0,other,at_home,course,mother,1,0,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,0,2,20,14,8
93,GP,F,15,U,GT3,T,1,1,other,health,other,mother,1,1,0,no,yes,no,no,no,yes,yes,yes,4,1,2,1,1,1,0,13,10,8
94,GP,M,16,U,GT3,T,3,1,other,services,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,2,0,0,0,16,14,9
95,MS,F,15,R,GT3,T,2,3,teacher,teacher,course,mother,2,1,0,no,yes,no,no,yes,yes,yes,no,5,3,1,0,1,4,0,14,16,9
96,GP,M,14,R,LE3,T,1,1,services,services,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,1,4,0,1,3,3,14,15,9
97,MS,M,16,U,LE3,T,1,2,health,other,course,mother,1,2,1,no,no,yes,no,yes,yes,yes,no,3,4,2,1,0,5,6,4,9,8
98,GP,F,16,U,GT3,T,4,2,services,at_home,home,mother,1,2,0,no,no,no,yes,no,no,yes,no,3,3,0,1,0,1,0,15,9,9
99,MS,F,14,U,GT3,T,2,0,other,at_home,course,mother,1,1,0,no,no,no,yes,yes,no,yes,no,3,4,1,3,2,3,1,15,12,8
100,GP,F,16,U,GT3,T,3,2,at_home,services,course,other,1,0,0,no,yes,no,no,no,yes,yes,yes,5,2,2,2,2,4,14,17,14,8
101,GP,M,16,U,LE3,T,2,2,health,services,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,3,1,2,4,5,13,19,9
102,GP,F,16,U,GT3,A,2,1,other,other,home,mother,3,0,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,2,0,3,0,14,11,9
103,GP,M,16,U,GT3,A,2,3,at_home,teacher,other,mother,1,1,0,no,yes,no,yes,yes,no,yes,no,5,5,2,1,1,2,1,13,12,8
104,GP,F,17,U,GT3,A,2,3,other,other,home,mother,3,1,0,yes,yes,yes,yes,yes,yes,yes,no,4,4,2,6,1,4,0,20,13,9
105,GP,F,15,U,GT3,T,2,2,other,other,home,mother,1,1,1,no,no,no,yes,yes,yes,yes,no,5,4,1,1,3,3,6,14,12,7
106,GP,M,16,U,GT3,T,2,1,other,other,course,mother,1,0,0,no,yes,no,no,no,yes,yes,no,4,5,0,0,5,2,1,9,13,9
107,GP,F,17,U,GT3,T,3,1,health,services,home,mother,2,0,0,no,yes,no,no,yes,yes,yes,no,4,4,0,1,4,4,4,13,9,9
108,GP,F,16,U,GT3,T,4,0,teacher,services,reputation,other,1,3,0,yes,yes,no,yes,no,yes,yes,yes,2,1,2,2,0,4,2,9,12,11
109,GP,F,17,U,GT3,A,3,1,services,other,home,father,3,2,0,yes,no,yes,no,no,yes,no,no,5,4,2,2,2,3,4,13,18,9
110,GP,M,17,U,LE3,A,3,1,other,other,home,mother,2,2,0,no,no,yes,no,yes,yes,yes,no,4,4,4,1,1,3,1,15,17,9
111,GP,M,14,U,GT3,A,4,2,services,services,course,other,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,1,2,2,4,4,9,13,9
112,MS,F,17,U,GT3,T,3,1,health,services,reputation,mother,1,1,0,yes,yes,no,no,no,yes,yes,no,5,4,3,3,2,4,0,19,20,9
113,MS,F,14,U,GT3,T,2,2,services,at_home,home,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,1,5,1,1,0,17,12,9
114,GP,F,14,R,LE3,T,2,2,services,services,home,mother,1,1,0,no,no,no,no,yes,yes,no,yes,4,4,2,1,2,0,6,13,16,8
115,MS,F,16,U,LE3,A,1,2,services,services,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,5,0,0,1,15,8,9
116,GP,F,16,U,GT3,T,1,3,services,other,reputation,father,5,1,0,no,no,no,yes,yes,yes,yes,no,4,1,3,5,5,4,0,10,21,9
117,GP,M,14,U,GT3,T,3,1,at_home,health,home,father,2,0,0,no,yes,yes,no,yes,yes,no,no,4,5,1,6,1,3,2,13,7,9
118,GP,M,15,U,GT3,T,3,3,services,other,home,mother,1,0,0,no,no,no,no,yes,yes,no,no,5,3,4,1,1,4,1,13,19,9
119,MS,M,16,U,GT3,T,3,2,other,other,home,mother,3,2,0,no,yes,no,yes,no,yes,yes,yes,3,4,1,1,4,3,1,7,13,9
120,GP,F,14,R,GT3,T,3,1,other,other,course,father,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,1,1,1,0,19,9,11
121,GP,M,17,U,GT3,T,2,4,services,services,course,other,1,1,1,no,yes,no,no,no,yes,yes,no,5,3,1,3,2,2,0,12,13,8
122,GP,M,14,U,GT3,T,2,1,other,other,home,mother,3,1,0,no,no,no,no,yes,yes,yes,no,5,2,2,1,2,4,3,10,12,9
123,MS,F,14,U,GT3,T,4,2,other,services,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,2,0,0,0,18,18,9
124,GP,F,14,U,GT3,T,4,3,other,other,reputation,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,5,3,1,1,1,4,2,14,9,9
125,GP,F,17,U,LE3,T,3,2,health,other,home,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,4,4,0,2,4,14,11,9
126,GP,M,16,U,LE3,T,2,3,teacher,services,reputation,mother,1,0,0,no,yes,no,yes,yes,yes,yes,no,4,4,1,1,1,4,0,9,9,9
127,GP,M,17,U,LE3,T,3,1,other,services,course,mother,1,2,0,no,no,yes,yes,yes,yes,no,no,3,3,4,1,5,4,1,16,15,9
128,MS,F,14,R,LE3,T,3,2,other,teacher,course,mother,4,2,0,no,yes,yes,no,no,yes,yes,no,5,3,2,5,6,4,3,8,16,9
129,MS,M,16,U,GT3,T,1,2,services,other,course,father,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,2,4,3,1,4,2,10,7,9
130,GP,M,14,R,GT3,A,4,2,other,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,5,2,1,1,1,0,0,15,15,10
131,MS,M,14,U,LE3,T,3,1,teacher,other,reputation,mother,1,1,0,yes,no,no,no,no,yes,yes,no,2,3,2,5,3,5,0,13,15,9
132,GP,M,16,U,LE3,T,1,0,at_home,other,reputation,father,1,0,0,no,yes,no,no,yes,no,no,no,1,3,3,2,4,4,2,10,15,8
133,GP,M,15,U,LE3,T,4,1,other,health,course,father,1,1,0,no,no,no,yes,no,yes,yes,no,2,3,3,4,4,1,1,14,13,9
134,GP,M,15,U,GT3,T,3,2,other,other,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,0,1,0,4,1,13,16,9
135,GP,F,14,U,GT3,T,4,4,health,services,course,father,1,2,0,no,yes,no,no,yes,yes,no,yes,4,3,3,1,3,4,2,18,16,10
136,GP,F,15,R,GT3,T,1,3,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,4,1,1,1,1,4,3,14,12,9
137,GP,F,17,U,LE3,T,2,0,other,other,home,other,1,1,2,no,yes,no,no,yes,yes,yes,no,3,4,3,1,3,4,5,14,16,6
138,GP,M,16,U,LE3,A,1,2,at_home,other,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,0,4,6,2,4,0,7,9,9
139,GP,M,16,U,GT3,T,0,1,other,other,other,mother,1,3,1,no,yes,no,yes,no,yes,yes,yes,3,4,3,1,0,2,2,18,13,9
140,MS,F,16,U,GT3,T,1,3,at_home,other,course,other,1,2,0,no,yes,no,no,yes,yes,yes,no,4,0,2,1,3,4,3,7,6,9
141,GP,F,17,U,GT3,A,2,0,health,other,reputation,mother,2,1,1,no,yes,no,yes,yes,yes,no,no,5,3,4,2,2,2,0,13,12,8
142,MS,M,17,U,GT3,T,0,3,teacher,health,course,mother,5,2,0,no,no,no,no,no,yes,yes,yes,4,3,4,1,2,3,0,13,3,9
143,MS,F,18,U,LE3,T,3,0,other,health,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,5,4,2,1,1,4,0,10,11,9
144,GP,F,16,U,LE3,T,2,1,at_home,health,home,mother,3,3,0,no,no,no,no,yes,yes,yes,yes,4,3,0,1,1,1,6,18,10,10
145,GP,M,16,R,GT3,A,3,2,at_home,health,home,father,5,1,0,no,yes,no,yes,yes,yes,yes,yes,4,1,4,1,3,2,1,10,6,9
146,MS,F,16,U,GT3,T,3,1,other,other,home,mother,3,3,0,yes,yes,yes,no,yes,yes,no,no,5,2,0,1,1,4,2,13,15,11
147,MS,M,16,U,LE3,T,2,3,services,other,home,mother,2,0,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,4,0,3,13,17,9
148,MS,M,15,R,GT3,T,4,4,services,other,course,mother,1,0,0,no,yes,no,yes,yes,yes,yes,yes,5,0,1,1,3,2,5,14,0,9
149,GP,F,14,U,LE3,T,2,1,other,services,home,other,1,1,0,no,no,no,no,no,yes,yes,no,3,2,1,1,2,4,4,12,13,8
150,MS,F,16,R,GT3,T,1,2,teacher,other,reputation,mother,0,0,0,no,yes,no,no,yes,no,yes,yes,4,4,3,3,1,0,0,9,14,8
151,GP,M,15,U,GT3,A,1,1,other,services,course,father,1,3,0,no,yes,yes,no,yes,yes,yes,no,2,1,1,0,2,3,1,19,14,10
152,GP,M,14,U,GT3,T,2,3,at_home,other,course,mother,1,1,0,yes,no,no,yes,yes,yes,yes,no,4,4,0,1,2,4,0,11,15,9
153,GP,M,17,R,GT3,A,2,1,at_home,other,home,other,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,2,1,1,3,0,14,7,9
154,MS,F,16,R,GT3,T,2,0,at_home,health,course,mother,2,3,0,no,yes,no,no,no,yes,yes,no,5,3,4,1,1,1,0,12,12,11
155,GP,F,16,U,GT3,A,3,2,services,other,home,mother,2,3,0,no,no,no,yes,yes,no,no,no,3,3,1,5,5,4,0,10,15,10
156,GP,F,16,U,LE3,A,3,1,other,other,course,father,1,1,0,no,no,no,yes,no,yes,no,no,3,3,3,1,2,4,0,16,12,9
157,GP,M,15,U,GT3,T,1,3,other,health,home,other,2,1,0,no,no,no,yes,yes,yes,yes,no,2,5,2,1,3,3,1,12,10,8
158,GP,F,15,U,GT3,A,3,2,other,health,course,mother,1,1,1,no,yes,no,yes,yes,yes,yes,no,4,1,3,1,2,4,0,14,13,8
159,GP,M,14,U,GT3,T,2,2,at_home,services,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,5,2,1,1,1,1,0,14,9,9
160,GP,F,15,R,LE3,T,1,3,at_home,other,reputation,other,1,1,0,no,no,no,yes,no,yes,yes,no,5,2,3,3,3,0,0,11,13,9
161,MS,F,14,U,LE3,T,4,2,other,services,other,mother,1,1,1,no,yes,no,yes,no,yes,no,yes,4,3,4,5,0,0,1,18,11,8
162,GP,M,14,U,GT3,T,4,1,other,teacher,course,mother,1,2,0,yes,yes,no,no,yes,yes,yes,yes,4,4,1,1,3,4,0,14,11,10
163,GP,F,15,U,GT3,T,2,1,health,teacher,course,mother,5,1,0,no,yes,no,no,yes,yes,yes,no,5,1,4,1,1,3,9,19,4,8
164,GP,M,16,R,GT3,T,1,3,health,at_home,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,3,0,1,4,2,10,17,10
165,MS,F,17,U,GT3,T,2,3,other,services,course,father,1,1,0,no,no,no,yes,yes,yes,yes,no,4,1,3,4,1,3,3,14,12,9
166,MS,F,14,U,GT3,T,3,3,at_home,services,home,other,2,0,0,no,yes,yes,yes,yes,yes,yes,no,4,3,1,2,1,4,0,9,14,9
167,GP,F,16,U,LE3,T,1,2,other,at_home,other,other,5,1,2,no,yes,yes,yes,yes,no,yes,yes,4,1,2,2,2,2,0,11,11,6
168,GP,F,15,R,GT3,T,1,1,at_home,services,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,3,3,5,1,4,1,14,11,8
169,MS,F,14,U,LE3,T,2,4,services,other,course,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,1,1,2,1,2,15,5,9
170,MS,F,14,R,GT3,T,4,1,services,health,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,0,2,1,0,1,0,19,7,11
171,MS,M,16,U,GT3,T,2,3,other,services,reputation,father,1,1,0,no,yes,yes,yes,yes,no,yes,no,4,4,2,2,4,3,0,15,0,8
172,GP,M,14,U,GT3,T,3,2,at_home,other,home,mother,4,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,2,3,0,13,12,9
173,MS,M,17,U,GT3,T,1,3,at_home,other,other,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,4,3,4,4,0,4,9,9
174,MS,M,14,U,LE3,T,1,1,other,services,reputation,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,1,1,1,3,2,3,16,16,8
175,MS,F,16,U,LE3,T,2,1,at_home,teacher,course,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,3,4,0,0,9,12,11
176,GP,M,14,R,LE3,T,4,1,other,health,other,other,2,3,0,yes,yes,no,no,yes,yes,yes,no,5,0,1,1,0,4,3,18,14,11
